Metric,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
Baseline Uniform PR,92.82,94.67,92.89,94.20,94.35,94.03,94.01,93.70,93.30,93.53
Baseline Gaussian PR,92.96,92.71,93.75,93.18,94.00,94.34,93.44,94.00,92.76,93.33
PGD Robust Accuracy,5.40,4.35,4.85,4.49,4.48,4.36,3.81,4.66,5.29,5.63
CW Robust Accuracy,3.83,5.22,3.38,4.24,3.64,3.73,3.76,3.83,3.53,4.89
