Metric,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
Baseline Uniform PR,97.35,97.47,97.37,97.45,96.96,97.70,97.82,97.17,97.56,96.78
Baseline Gaussian PR,97.28,97.37,97.73,97.86,97.56,97.14,97.73,97.68,97.25,97.55
PGD Robust Accuracy,2.51,2.05,2.04,2.00,2.33,2.69,2.91,2.61,2.15,1.83
CW Robust Accuracy,2.73,2.35,2.08,2.94,2.84,1.96,3.18,2.22,2.47,2.41
