Metric,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
Baseline Uniform PR,95.18,94.69,95.47,95.00,96.03,94.58,95.59,95.34,95.06,94.76
Baseline Gaussian PR,95.64,94.73,94.56,94.11,94.61,94.59,94.70,95.03,94.84,94.31
PGD Robust Accuracy,4.87,4.03,3.46,4.57,4.13,4.84,5.63,4.95,4.91,3.74
CW Robust Accuracy,5.05,4.62,4.31,4.30,4.33,4.88,3.81,3.58,5.52,4.13
