Metric,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
Baseline Uniform PR,98.99,98.89,99.06,99.10,98.76,98.77,99.00,98.90,98.56,98.74
Baseline Gaussian PR,98.77,98.88,98.93,99.40,99.00,99.00,98.69,99.26,99.19,98.44
PGD Robust Accuracy,7.65,8.82,9.68,8.97,8.69,9.81,9.11,10.50,8.67,7.94
CW Robust Accuracy,9.23,10.15,10.13,9.40,8.37,9.54,9.52,9.71,7.69,8.86
